timestamp,gitaly,gitlab-exporter,gitlab-shell,gitlab-workhorse,kas,migrations,minio,minio-mc,postgresql,registry,sidekiq,toolbox,webservice
1727785560,0.1,0.075,0,0.2,0.2,0.25,0.1,0.05,0.25,0.1,0.9,0.05,0.6
1727785590,0.1,0.075,0,0.30000000000000004,0.2,0.25,0.1,0.05,0.25,0.1,0.9,0.05,0.8999999999999999
1727785620,0.1,0.075,0,0.30000000000000004,0.2,0.25,0.1,0.05,0.25,0.1,0.9,0.05,0.8999999999999999
1727785650,0.1,0.075,0,0.30000000000000004,0.2,0.25,0.1,0.05,0.25,0.1,0.9,0.05,0.8999999999999999
1727785680,0.1,0.075,0,0.30000000000000004,0.2,0.25,0.1,0.05,0.25,0.1,0.9,0.05,0.8999999999999999
1727785710,0.1,0.075,0,0.30000000000000004,0.2,0.25,0.1,0.05,0.25,0.1,0.9,0.05,0.8999999999999999
1727785740,0.1,0.075,0,0.30000000000000004,0.2,0.25,0.1,0.05,0.25,0.1,0.9,0.05,0.8999999999999999
1727785770,0.1,0.075,0,0.30000000000000004,0.2,0.25,0.1,0.05,0.25,0.1,0.9,0.05,0.8999999999999999
1727785800,0.1,0.075,0,0.30000000000000004,0.2,0.25,0.1,0.05,0.25,0.1,0.9,0.05,0.8999999999999999
1727785830,0.1,0.075,0,0.30000000000000004,0.2,0.25,0.1,0.05,0.25,0.1,0.9,0.05,0.8999999999999999
1727785860,0.1,0.075,0,0.30000000000000004,0.2,0.25,0.1,0.05,0.25,0.1,0.9,0.05,0.8999999999999999
1727785890,0.1,0.075,0,0.30000000000000004,0.2,0.25,0.1,0.05,0.25,0.1,0.9,0.05,0.8999999999999999
1727785920,0.1,0.075,0,0.30000000000000004,0.2,0.25,0.1,0.05,0.25,0.1,0.9,0.05,0.8999999999999999
1727785950,0.1,0.075,0,0.30000000000000004,0.2,0.25,0.1,0.05,0.25,0.1,0.9,0.05,0.8999999999999999
1727785980,0.1,0.075,0,0.30000000000000004,0.2,0.25,0.1,0.05,0.25,0.1,0.9,0.05,0.8999999999999999
1727786010,0.1,0.075,0,0.30000000000000004,0.2,0.25,0.1,0.05,0.25,0.1,0.9,0.05,0.8999999999999999
1727786040,0.1,0.075,0,0.30000000000000004,0.2,0.25,0.1,0.05,0.25,0.1,0.9,0.05,0.8999999999999999
1727786070,0.1,0.075,0,0.30000000000000004,0.2,0.25,0.1,0.05,0.25,0.1,0.9,0.05,0.8999999999999999
1727786100,0.1,0.075,0,0.30000000000000004,0.2,0.25,0.1,0.05,0.25,0.1,0.9,0.05,0.8999999999999999
1727786130,0.1,0.075,0,0.30000000000000004,0.2,0.25,0.1,0.05,0.25,0.1,0.9,0.05,0.8999999999999999
1727786160,0.1,0.075,0,0.2,0.2,0.25,0.1,0.05,0.25,0.1,0.9,0.05,0.6
1727786190,0.1,0.075,0,0.2,0.2,0.25,0.1,0.05,0.25,0.1,0.9,0.05,0.6
1727786220,0.1,0.075,0,0.2,0.2,0.25,0.1,0.05,0.25,0.1,0.9,0.05,0.6
1727786250,0.1,0.075,0,0.2,0.2,0.25,0.1,0.05,0.25,0.1,0.9,0.05,0.6
1727786280,0.1,0.075,0,0.2,0.2,0.25,0.1,0.05,0.25,0.1,0.9,0.05,0.6
1727786310,0.1,0.075,0,0.2,0.2,0.25,0.1,0.05,0.25,0.1,0.9,0.05,0.6
1727786340,0.1,0.075,0,0.2,0.2,0.25,0.1,0.05,0.25,0.1,0.9,0.05,0.6
1727786370,0.1,0.075,0,0.2,0.2,0.25,0.1,0.05,0.25,0.1,0.9,0.05,0.6
1727786400,0.1,0.075,0,0.2,0.2,0.25,0.1,0.05,0.25,0.1,0.9,0.05,0.6
1727786430,0.1,0.075,0,0.2,0.2,0.25,0.1,0.05,0.25,0.1,0.9,0.05,0.6
1727786460,0.1,0.075,0,0.2,0.2,0.25,0.1,0.05,0.25,0.1,0.9,0.05,0.6
1727786490,0.1,0.075,0,0.2,0.2,0.25,0.1,0.05,0.25,0.1,0.9,0.05,0.6
1727786520,0.1,0.075,0,0.2,0.2,0.25,0.1,0.05,0.25,0.1,0.9,0.05,0.6
1727786550,0.1,0.075,0,0.2,0.2,0.25,0.1,0.05,0.25,0.1,0.9,0.05,0.6
1727786580,0.1,0.075,0,0.2,0.2,0.25,0.1,0.05,0.25,0.1,0.9,0.05,0.6
1727786610,0.1,0.075,0,0.2,0.2,0.25,0.1,0.05,0.25,0.1,0.9,0.05,0.6
1727786640,0.1,0.075,0,0.2,0.2,0.25,0.1,0.05,0.25,0.1,0.9,0.05,0.6
1727786670,0.1,0.075,0,0.2,0.2,0.25,0.1,0.05,0.25,0.1,0.9,0.05,0.6
1727786700,0.1,0.075,0,0.2,0.2,0.25,0.1,0.05,0.25,0.1,0.9,0.05,0.6
1727786730,0.1,0.075,0,0.2,0.2,0.25,0.1,0.05,0.25,0.1,0.9,0.05,0.6
1727786760,0.1,0.075,0,0.2,0.2,0.25,0.1,0.05,0.25,0.1,0.9,0.05,0.6
1727786790,0.1,0.075,0,0.30000000000000004,0.2,0.25,0.1,0.05,0.25,0.1,0.9,0.05,0.8999999999999999
1727786820,0.1,0.075,0,0.30000000000000004,0.2,0.25,0.1,0.05,0.25,0.1,0.9,0.05,0.8999999999999999
1727786850,0.1,0.075,0,0.30000000000000004,0.2,0.25,0.1,0.05,0.25,0.1,0.9,0.05,0.8999999999999999
1727786880,0.1,0.075,0,0.30000000000000004,0.2,0.25,0.1,0.05,0.25,0.1,0.9,0.05,0.8999999999999999
1727786910,0.1,0.075,0,0.30000000000000004,0.2,0.25,0.1,0.05,0.25,0.1,0.9,0.05,0.8999999999999999
1727786940,0.1,0.075,0,0.30000000000000004,0.2,0.25,0.1,0.05,0.25,0.1,0.9,0.05,0.8999999999999999
1727786970,0.1,0.075,0,0.30000000000000004,0.2,0.25,0.1,0.05,0.25,0.1,0.9,0.05,0.8999999999999999
1727787000,0.1,0.075,0,0.30000000000000004,0.2,0.25,0.1,0.05,0.25,0.1,0.9,0.05,0.8999999999999999
1727787030,0.1,0.075,0,0.30000000000000004,0.2,0.25,0.1,0.05,0.25,0.1,0.9,0.05,0.8999999999999999
1727787060,0.1,0.075,0,0.30000000000000004,0.2,0.25,0.1,0.05,0.25,0.1,0.9,0.05,0.8999999999999999
1727787090,0.1,0.075,0,0.30000000000000004,0.2,0.25,0.1,0.05,0.25,0.1,0.9,0.05,0.8999999999999999
1727787120,0.1,0.075,0,0.30000000000000004,0.2,0.25,0.1,0.05,0.25,0.1,0.9,0.05,0.8999999999999999
1727787150,0.1,0.075,0,0.30000000000000004,0.2,0.25,0.1,0.05,0.25,0.1,0.9,0.05,0.8999999999999999
1727787180,0.1,0.075,0,0.2,0.2,0.25,0.1,0.05,0.25,0.1,0.9,0.05,0.6
1727787210,0.1,0.075,0,0.2,0.2,0.25,0.1,0.05,0.25,0.1,0.9,0.05,0.6
1727787240,0.1,0.075,0,0.2,0.2,0.25,0.1,0.05,0.25,0.1,0.9,0.05,0.6
1727787270,0.1,0.075,0,0.2,0.2,0.25,0.1,0.05,0.25,0.1,0.9,0.05,0.6
1727787300,0.1,0.075,0,0.2,0.2,0.25,0.1,0.05,0.25,0.1,0.9,0.05,0.6
1727787330,0.1,0.075,0,0.2,0.2,0.25,0.1,0.05,0.25,0.1,0.9,0.05,0.6
1727787360,0.1,0.075,0,0.2,0.2,0.25,0.1,0.05,0.25,0.1,0.9,0.05,0.6
1727787390,0.1,0.075,0,0.2,0.2,0.25,0.1,0.05,0.25,0.1,0.9,0.05,0.6
1727787420,0.1,0.075,0,0.2,0.2,0.25,0.1,0.05,0.25,0.1,1.8,0.05,0.6
1727787450,0.1,0.075,0,0.2,0.2,0.25,0.1,0.05,0.25,0.1,1.8,0.05,0.6
