timestamp,certificates,gitaly,gitlab-exporter,gitlab-shell,gitlab-workhorse,kas,metrics,minio,postgresql,prometheus-server,prometheus-server-configmap-reload,redis,registry,sidekiq,toolbox,webservice,dependencies,configure
1727783430,,237953024,32022528,17317888,174694400,80510976,13467648,10268672,489897984,1560379392,4354048,58298368,27217920,2905640960,1200128,19641856000,3297280,
1727783460,,237953024,32022528,17580032,174637056,80519168,13213696,10268672,489897984,1560416256,4349952,58200064,27217920,2895032320,1200128,19584954368,3297280,
1727783490,,238215168,31735808,17321984,175161344,80519168,13213696,10268672,484790272,1560461312,4349952,58200064,27373568,2900082688,1200128,19611500544,3297280,
1727783520,,237953024,31731712,17330176,176717824,80515072,13488128,10268672,484790272,1516789760,4349952,58519552,27377664,2894901248,1200128,19586973696,3297280,
1727783550,,238419968,32026624,17616896,176668672,80588800,13488128,10268672,506572800,1516855296,4354048,58376192,27381760,2919968768,1200128,19897847808,3297280,
1727783580,,238419968,31731712,17948672,176230400,80592896,13488128,10268672,468971520,1516912640,4354048,58134528,27459584,2919968768,1200128,19947585536,3297280,
1727783610,,238116864,31731712,18214912,171737088,80596992,13148160,10268672,468971520,1519894528,4354048,58134528,27475968,2893606912,1200128,19995860992,3297280,
1727783640,,238383104,32038912,17432576,171597824,80596992,14036992,10268672,333414400,1519939584,4349952,57528320,27475968,2887811072,1200128,20014088192,,
1727783670,,237920256,31731712,17940480,172515328,80588800,14041088,10268672,336089088,1526620160,4349952,56659968,27475968,2907205632,1200128,17272999936,,
1727783700,,237920256,32075776,18350080,149024768,80592896,14528512,10268672,336089088,1526620160,4358144,56668160,27250688,2890600448,1200128,16999059456,,
1727783730,,414203904,32088064,17899520,153849856,80588800,14544896,10268672,447483904,1526898688,4358144,56463360,27250688,2908725248,1200128,16754917376,,
1727783760,,368533504,31735808,18157568,213454848,80588800,14544896,10268672,497930240,1493409792,4354048,56979456,27238400,2890153984,1200128,18828099584,3690496,
1727783790,,368533504,31735808,17965056,215007232,80588800,14905344,10276864,500072448,1494003712,4354048,56979456,27238400,2902478848,1200128,20317401088,3690496,
1727783820,,315478016,31731712,17620992,214523904,80592896,14737408,10276864,500072448,1494003712,4354048,57384960,27172864,2902478848,1200128,24588869632,3690496,
1727783850,,315150336,32063488,17358848,197058560,80592896,14737408,10276864,519647232,1675792384,4349952,57384960,27172864,2892161024,1200128,22398763008,3690496,
1727783880,,316305408,32063488,17633280,199892992,80592896,12996608,10280960,519598080,1698586624,4349952,57712640,27156480,2900144128,1200128,19983192064,3690496,
1727783910,,307814400,32018432,17846272,184725504,80592896,12996608,10280960,520994816,1699274752,4349952,57806848,27156480,1587064832,1200128,20411428864,3690496,
1727783940,,307896320,31731712,17780736,187052032,80588800,13078528,10280960,520982528,1699307520,4349952,58032128,27197440,1572622336,1200128,20938526720,3690496,
1727783970,,421068800,32026624,17903616,189583360,80584704,13078528,10276864,521695232,1699389440,4349952,58032128,27181056,1589096448,1200128,21339856896,3690496,
1727784000,,421449728,31735808,18161664,189353984,80584704,13893632,10276864,521949184,1533571072,4349952,59445248,27176960,1574551552,1200128,21433327616,3690496,
1727784030,,316801024,32075776,18243584,190910464,80584704,13893632,10342400,527552512,1540460544,4349952,58552320,27176960,1574551552,1200128,21771890688,3690496,
1727784060,,317890560,31735808,17612800,191856640,80584704,14622720,10342400,519475200,1541488640,4349952,58372096,27172864,1577811968,1200128,21898788864,,
1727784090,,428556288,32079872,17620992,191164416,80850944,14626816,10342400,465965056,1541488640,4349952,58372096,27250688,2354081792,1200128,21916094464,,
1727784120,,430944256,31731712,17620992,192389120,80850944,14696448,10342400,297197568,1562386432,4349952,58540032,27250688,2847010816,1200128,21720498176,,
1727784150,,430944256,32030720,18079744,191631360,79675392,14696448,10342400,352395264,1562386432,4354048,57831424,27262976,2878644224,1200128,21806743552,,
1727784180,,425320448,32030720,18190336,192466944,79667200,13594624,10342400,352264192,1614856192,4349952,57831424,27262976,2902966272,1200128,21844520960,,
1727784210,,425918464,32038912,17924096,192954368,79667200,13594624,10342400,353136640,1621299200,4349952,58359808,27291648,2912186368,1200128,22046576640,,
1727784240,,431587328,31731712,17666048,196124672,79921152,13152256,10342400,356384768,1637924864,4349952,57323520,27295744,2889109504,1200128,22161334272,,
1727784270,,441856000,32067584,17453056,225697792,79826944,13164544,10342400,392040448,1637924864,4349952,58007552,27295744,2909605888,1200128,23856599040,6561792,
1727784300,,434458624,31731712,17580032,240943104,79826944,13316096,10342400,396439552,1645748224,4349952,57499648,27299840,2895716352,1200128,24910082048,6561792,
1727784330,,442073088,32067584,17838080,241848320,79831040,13348864,10342400,399327232,1646780416,4349952,58859520,27303936,2904649728,1200128,26784464896,6561792,
1727784360,,442073088,31735808,17694720,176721920,79831040,13348864,10235904,399327232,1691009024,4349952,58736640,27308032,2889302016,1200128,20392435712,6561792,
1727784390,,444198912,32047104,17920000,160256000,79831040,13135872,10235904,341762048,1691009024,4349952,58216448,27308032,2906304512,1200128,18323873792,6561792,
1727784420,,391053312,32047104,17920000,166805504,79831040,13529088,10272768,363589632,1692520448,4354048,58216448,27312128,2892681216,1200128,18492489728,6561792,
1727784450,,851460096,31731712,17674240,167546880,79835136,13537280,10268672,363589632,1692618752,4354048,57589760,27316224,2892681216,1200128,18914140160,6561792,
1727784480,,851460096,32075776,17674240,143810560,80494592,14397440,10268672,419790848,1694257152,4354048,57380864,27312128,2916679680,1200128,16238153728,6561792,
1727784510,,475262976,31731712,18882560,190275584,80494592,14397440,10268672,419790848,1694564352,4354048,57380864,27320320,2912522240,1200128,16172756992,10063872,
1727784540,,419110912,31731712,18878464,197959680,80494592,14606336,10268672,456384512,1695244288,4354048,57741312,27316224,2897223680,1200128,17996767232,10063872,
1727784570,,425152512,32034816,17551360,198508544,80531456,14606336,10301440,432287744,1664253952,4349952,57741312,27312128,2908909568,1200128,19900915712,3502080,
1727784600,,424656896,31731712,17547264,216035328,80523264,13393920,10301440,432287744,1664270336,4349952,58605568,27312128,2892947456,1200128,20689235968,3502080,
1727784630,,424656896,32018432,17522688,214958080,80527360,13393920,10301440,456372224,1664536576,4354048,57815040,27344896,2914557952,1200128,20976750592,3502080,
1727784660,,354762752,32018432,17653760,214478848,80523264,13393920,10301440,432189440,1664606208,4354048,57815040,27348992,1576017920,1200128,21184925696,3502080,
1727784690,,450949120,31731712,17657856,208097280,80523264,13676544,10301440,432189440,1679147008,4354048,58003456,27447296,1576017920,1200128,21338337280,3502080,
1727784720,,450949120,32026624,17657856,208396288,80527360,14548992,10301440,439554048,1667190784,4354048,58138624,27447296,1595686912,1200128,21534044160,3502080,
1727784750,,453292032,32071680,17657856,206815232,80527360,14548992,10301440,442732544,1667223552,4354048,58245120,27447296,1595805696,1200128,21318574080,3502080,
1727784780,,457830400,31731712,17678336,206385152,80527360,14548992,10301440,447152128,1667268608,4354048,57815040,27447296,1575251968,1200128,21450170368,3502080,
1727784810,,457830400,32022528,17657856,206626816,80531456,14692352,10301440,412815360,1667248128,4354048,58318848,27459584,1590370304,1200128,21518262272,,
1727784840,,350720000,31731712,17399808,202530816,80531456,14925824,10301440,314929152,1631436800,4349952,57405440,27459584,1573027840,1200128,21469749248,,
1727784870,,350396416,32022528,17838080,203345920,80527360,14925824,10301440,268247040,1631481856,4349952,56688640,27459584,1588203520,1200128,21391843328,,
1727784900,,351051776,31735808,18149376,202153984,80547840,13737984,10301440,268451840,1631481856,4349952,56639488,27459584,1596063744,1200128,21286748160,,
1727784930,,316497920,32055296,18321408,202969088,80531456,13721600,10301440,268845056,1631498240,4349952,57462784,27213824,1589297152,1200128,21281710080,,
1727784960,,330145792,31735808,18595840,207015936,80531456,13721600,10301440,273637376,1628196864,4358144,56766464,27213824,1579270144,1200128,21241860096,,
1727784990,,330145792,32079872,17854464,212029440,80793600,13025280,10301440,302542848,1628487680,4358144,56676352,27217920,1579270144,1200128,21252378624,,
1727785020,,324714496,31735808,18046976,212475904,80531456,13512704,10301440,311504896,1628209152,4349952,56721408,27213824,2049073152,1200128,21251289088,,
1727785050,,368148480,32059392,18309120,216420352,80539648,13492224,10301440,323809280,1652707328,4354048,57167872,27246592,2772811776,1200128,21280276480,,
1727785080,,322703360,31731712,18309120,208035840,80609280,13664256,10301440,298233856,1632337920,4354048,57167872,27222016,2838253568,1200128,21269192704,,
1727785110,,322949120,32030720,18432000,110489600,80609280,13664256,10301440,337981440,1632337920,4354048,57962496,27222016,2912944128,1200128,13583568896,,
1727785140,,349736960,31731712,18554880,93212672,80609280,13414400,10301440,337702912,1633558528,4349952,57311232,27222016,2888630272,1200128,8781275136,,
1727785170,,354910208,32026624,19087360,102096896,80617472,13414400,10301440,343842816,1641160704,4349952,57675776,27222016,2870341632,1200128,8824799232,,
1727785200,,342642688,31735808,18546688,102326272,80617472,12861440,10301440,343842816,1641160704,4354048,57675776,27328512,2882080768,1200128,8890941440,,
1727785230,,342167552,32022528,17846272,102481920,80617472,12861440,10334208,358694912,1641127936,4354048,57335808,27324416,2899050496,1200128,8978722816,,
1727785260,,342401024,31735808,17584128,96624640,80613376,12922880,10334208,366886912,1643106304,4354048,57389056,27328512,2878488576,1200128,9077428224,,
1727785290,,342618112,32030720,17846272,92839936,79699968,13037568,10334208,339865600,1644302336,4354048,58396672,27328512,2918801408,1200128,9024524288,,
1727785320,,310444032,31731712,18042880,93167616,79699968,13037568,10334208,303005696,1644290048,4349952,57040896,27328512,2894921728,1200128,8956723200,,
1727785350,,308817920,32022528,18108416,92872704,79699968,13041664,10334208,303005696,1644343296,4349952,56418304,27336704,2894921728,1200128,8927166464,,
1727785380,,308813824,31739904,17907712,93499392,79699968,12840960,10334208,236060672,1644326912,4354048,56385536,27336704,2916270080,1200128,8825806848,,
1727785410,,262283264,32079872,17899520,91377664,79949824,12840960,10334208,239898624,1644421120,4354048,56889344,27336704,2911465472,1200128,8920117248,,
1727785440,,262979584,31731712,18952192,91516928,79953920,12845056,10334208,239476736,1611239424,4354048,56889344,27353088,2897661952,1200128,8919609344,,
1727785470,,356200448,32079872,17989632,93204480,80220160,12836864,10338304,246546432,1611182080,4354048,56782848,27348992,2919841792,1200128,8906244096,,
1727785500,,364036096,31735808,17977344,90509312,79953920,13590528,10338304,249290752,1611182080,4354048,56565760,27357184,2897100800,1200128,8911155200,,
1727785530,,421044224,32022528,18329600,90509312,79953920,13590528,10334208,249290752,1616441344,4354048,56623104,27353088,2919051264,1200128,9103421440,,
1727785560,,418267136,31735808,17473536,54681600,79962112,13590528,10334208,255606784,1612808192,4354048,56623104,27353088,2919051264,1200128,6305878016,,
1727785590,,418267136,32071680,17715200,58327040,79958016,14430208,10301440,265785344,1612840960,4354048,56360960,27365376,1587740672,1200128,6310658048,,
1727785620,,386973696,32071680,17846272,71364608,79958016,14553088,10301440,265785344,1612824576,4349952,56516608,27365376,1578020864,1200128,7070490624,,
1727785650,,386973696,31735808,18173952,71380992,79962112,14536704,10305536,275738624,1612869632,4349952,56819712,27365376,1591549952,1200128,8110981120,,
