"Time","Redis","PostgreSQL","rails_2","rails_1","Gitaly"
1712650980000,1869844480,2273964032,6562922496,6628188160,2018623488
1712651010000,1870737408,2281021440,6094102528,6444961792,2017075200
1712651040000,1869963264,2281046016,6156066816,6469332992,2017075200
1712651070000,1869475840,2283593728,6179217408,6352416768,1976528896
1712651100000,1865637888,2284462080,6259728384,6252519424,1976303616
1712651130000,1865777152,2285223936,6312620032,6408925184,1976303616
1712651160000,1865359360,2285400064,6028615680,6359851008,1976270848
1712651190000,1865326592,2308136960,5882294272,6044778496,1961046016
1712651220000,1865650176,2309713920,5897224192,5944397824,1961046016
1712651250000,1866350592,2312036352,5892427776,5951561728,1961046016
1712651280000,1865576448,2311794688,5983502336,6045282304,1961046016
1712651310000,1865932800,2316492800,6104457216,5994401792,1961046016
1712651340000,1865994240,2051960832,6135705600,5956485120,1961046016
1712651370000,1865641984,2052669440,6114467840,6059302912,1961046016
1712651400000,1865834496,2053947392,6034997248,6222168064,1961013248
1712651430000,1865363456,2057416704,6226444288,6407507968,1959239680
1712651460000,1866084352,2060574720,6531047424,6482530304,1959239680
1712651490000,1866522624,2090479616,6064177152,6385700864,1959239680
1712651520000,1866149888,2097926144,5832577024,6251257856,1959206912
1712651550000,1865535488,2146758656,6013231104,6017454080,1959239680
1712651580000,1865932800,2153246720,6255210496,6161227776,1959239680
1712651610000,1865867264,2157428736,6380236800,6379786240,1959272448
1712651640000,1865900032,2164776960,6285762560,6199701504,1959272448
1712651670000,1865637888,2170687488,6304444416,6275870720,1959272448
1712651700000,1866027008,2192625664,6278578176,6422454272,1959272448
1712651730000,1866190848,2198503424,6425550848,6509731840,1959272448
1712651760000,1866158080,2201534464,6340268032,6623924224,1959272448
1712651790000,1865736192,2191769600,6382170112,6602555392,1959239680
1712651820000,1865375744,2151350272,6286360576,6481477632,1959206912
1712651850000,1865666560,2104320000,6285869056,6297632768,1959239680
1712651880000,1865994240,2128969728,6281252864,6244999168,1959272448
1712651910000,1866092544,2126880768,6265704448,6243606528,1959272448
1712651940000,1866059776,2135937024,6318632960,6302289920,1959014400
1712651970000,1866092544,2130911232,6275407872,6298296320,1959272448
1712652000000,1866190848,2116579328,5963251712,6273040384,2100944896
1712652030000,1866059776,2112659456,5968027648,6108475392,2116329472
1712652060000,1865609216,2116530176,6085394432,6169235456,2017366016
1712652090000,1866125312,2114981888,6177869824,6275780608,2017107968
1712652120000,1866027008,2113441792,6348414976,6351392768,2026106880
1712652150000,1865961472,2125312000,6303449088,6426894336,2026074112
1712652180000,1866448896,2127892480,6354444288,6552772608,2099142656
1712652210000,1866399744,2130792448,6405521408,6560256000,2088787968
1712652240000,1866600448,2130808832,6417174528,6633816064,2194120704
1712652270000,1866792960,2138775552,6441406464,6604636160,2207956992
1712652300000,1866858496,2137792512,6464638976,6589566976,2176917504
1712652330000,1866858496,2147786752,6565576704,6555783168,2108874752
1712652360000,1865949184,2115117056,6419021824,6418092032,2216738816
1712652390000,1867051008,2115858432,6442446848,6404157440,2218987520
1712652420000,1866440704,2121736192,6336262144,6406234112,2227212288
1712652450000,1866989568,2123436032,6318030848,6438969344,2224300032
1712652480000,1866338304,2122661888,6249254912,6480924672,2232430592
1712652510000,1866866688,2169204736,6498455552,6597578752,2230018048
1712652540000,1866391552,2169032704,6582382592,6504497152,2231218176
1712652570000,1867534336,2174492672,6560800768,6492368896,2275184640
1712652600000,1867116544,2173771776,6318546944,6342733824,2276724736
1712652630000,1866924032,2190028800,6289702912,6247469056,2226917376
1712652660000,1866596352,2190557184,6246539264,6251335680,2229776384
1712652690000,1866989568,2306445312,6340931584,6261264384,3136016384
1712652720000,1866924032,2307756032,6399840256,6263529472,3230007296
1712652750000,1866858496,2312835072,6521524224,6350684160,2309001216
1712652780000,1866989568,2314698752,6607597568,6486962176,2311782400
1712652810000,1866600448,2262347776,6628999168,6595895296,2262335488
1712652840000,1866792960,2239045632,6335352832,6538899456,2262261760
1712652870000,1866305536,2231074816,5884284928,6276415488,2370482176
1712652900000,1866887168,2230947840,5965586432,6309490688,2374119424
1712652930000,1866338304,2219909120,6058606592,6284185600,2268987392
1712652960000,1866342400,2219626496,6122352640,6339895296,2268954624
1712652990000,1866698752,2224254976,6112817152,6311059456,2268987392
1712653020000,1866600448,2200408064,6104317952,6323699712,2268696576
1712653050000,1866633216,2210201600,6124490752,6260633600,3027431424
1712653080000,1866407936,2063360000,6145236992,6267711488,4185948160
1712653110000,1866731520,2060836864,6184681472,6249648128,4187590656
1712653140000,1866698752,2062012416,6173745152,6212771840,4212400128
1712653170000,1866407936,2065887232,6241394688,6294540288,4216475648
1712653200000,1866149888,2065793024,6195044352,6302998528,4216848384
1712653230000,1866440704,2117492736,6241116160,6366789632,4217298944
1712653260000,1866633216,2123710464,6288838656,6331969536,4217331712
1712653290000,1867165696,2128846848,6207680512,6348075008,4217331712
1712653320000,1866592256,2129879040,6193373184,6294577152,4217298944
1712653350000,1866706944,2130694144,6271483904,6316015616,4179656704
1712653380000,1867042816,2134482944,6248841216,6358081536,2873892864
1712653410000,1867116544,2137374720,6276161536,6367322112,2873602048
1712653440000,1867407360,2162003968,6322040832,6379372544,2874376192
1712653470000,1867083776,2165035008,6345891840,6359863296,2874376192
1712653500000,1866723328,2171539456,6285283328,6422134784,2909573120
1712653530000,1867698176,2114797568,6360092672,6363774976,2944774144
1712653560000,1866305536,2114191360,6503776256,6551584768,3006029824
1712653590000,1867309056,2109239296,6559035392,6606323712,3009777664
1712653620000,1867505664,2118909952,6510350336,6547673088,2959216640
1712653650000,1867309056,2121502720,6373236736,6374866944,2962444288
1712653680000,1866797056,2120019968,6523305984,6458613760,2954977280
1712653710000,1867657216,2114506752,6533599232,6628913152,2955427840
1712653740000,1867317248,2113880064,6531821568,6522986496,2982817792
1712653770000,1867284480,2119417856,6459379712,6478827520,2996310016
1712653800000,1867415552,2120192000,6477041664,6557249536,2944720896
1712653830000,1868222464,2119421952,6588690432,6412451840,3009425408
1712653860000,1868447744,2123030528,6601510912,6520770560,2977300480
1712653890000,1868255232,2100199424,6545920000,5904490496,2961317888
1712653920000,1867796480,2109861888,6566408192,6288101376,2961182720
1712653950000,1867956224,2111152128,6371041280,6051930112,2965622784
1712653980000,1868144640,2111905792,6377775104,6088953856,2964869120
1712654010000,1868488704,2119540736,6320812032,6138531840,2935943168
1712654040000,1868713984,2120798208,6368485376,5995081728,2935943168
1712654070000,1869271040,2122498048,6380191744,6039400448,2935652352
1712654100000,1869504512,2122878976,6368260096,6098202624,2930233344
1712654130000,1869479936,2122612736,6378758144,6082412544,2930266112
1712654160000,1869062144,2122326016,6459158528,6073004032,2891042816
1712654190000,1868996608,2179448832,6351171584,6121082880,2894139392
1712654220000,1868963840,2186235904,6303313920,6019977216,2893918208
1712654250000,1869705216,2188206080,6305726464,5949771776,2922127360
1712654280000,1869463552,2187190272,6427729920,6070472704,2969960448
1712654310000,1868947456,2189238272,6570045440,6118969344,2950103040
1712654340000,1868980224,2190012416,6624059392,6372466688,2960117760
1712654370000,1869393920,2190561280,6369783808,6351073280,2940923904
1712654400000,1869082624,2189205504,6312529920,6132072448,2925252608
1712654430000,1869021184,2190802944,6141145088,5989629952,2925219840
1712654460000,1869279232,2190786560,6171815936,6023368704,2925187072
1712654490000,1869537280,2140016640,6161174528,6100189184,2925219840
1712654520000,1869295616,2143854592,6199283712,6032334848,2940309504
1712654550000,1869811712,2144153600,6258946048,6028050432,2941575168
1712654580000,1869819904,2131910656,6230028288,6077808640,2938204160
1712654610000,1869303808,2149724160,6265569280,6130298880,2936623104
1712654640000,1869275136,2151358464,6451585024,6288093184,2999459840
1712654670000,1869578240,2148831232,6547603456,6295322624,2994601984
1712654700000,1870045184,2151694336,6496903168,6308536320,2995339264
1712654730000,1870368768,2153799680,6582820864,6361628672,2992771072
1712654760000,1870077952,2284396544,6518632448,6313349120,2932727808
1712654790000,1870368768,2399199232,6599180288,6210859008,2932469760
1712654820000,1869852672,2310696960,6588563456,6200922112,2932436992
1712654850000,1869496320,2309926912,6582603776,6217080832,2932211712
1712654880000,1870368768,2309496832,6598934528,6144634880,2909986816
